FirstName,LastName,BarName,
Haven,Hooper,33 Taps,
Nehemiah,Frank,33 Taps,
Adriel,Chaney,33 Taps,
Enzo,Payne,33 Taps,
Vincent,Whitaker,33 Taps,
Nehemiah,Frank,33 Taps,
Jazlyn,Reilly,33 Taps,
Hector,Lucas,33 Taps,
Lilah,Yang,33 Taps,
Israel,Ortega,33 Taps,
Nehemiah,Frank,33 Taps,
Eduardo,Ibarra,33 Taps,
Cody,Mills,A.P. Stump's,
Callie,Mclean,A.P. Stump's,
Romeo,Cohen,A.P. Stump's,
Hayden,Case,A.P. Stump's,
River,Moon,A.P. Stump's,
Cooper,Mcbride,A.P. Stump's,
Colin,Moore,A.P. Stump's,
Rowan,Giles,A.P. Stump's,
Haley,Irwin,A.P. Stump's,
Haley,Irwin,A.P. Stump's,
Henry,Whitney,A.P. Stump's,
Porter,Espinoza,A.P. Stump's,
Henry,Whitney,A.P. Stump's,
Henry,Whitney,A.P. Stump's,
Carly,Duran,A.P. Stump's,
Ryleigh,Morales,A.P. Stump's,
Kyler,Yang,A.P. Stump's,
Margaret,Suarez,A.P. Stump's,
Eloise,Hall,Academia,
Remy,Boyle,Academia,
Caleb,Michael,Academia,
David,Patterson,Academia,
Remy,Boyle,Academia,
Ariana,Berger,Academia,
Jocelyn,Chan,Altitude Sky Lounge,
Kendall,Bentley,Altitude Sky Lounge,
Zayn,Cook,Altitude Sky Lounge,
Aden,Washington,Altitude Sky Lounge,
Aidan,Shea,Altitude Sky Lounge,
Magnolia,Kline,Altitude Sky Lounge,
Zayn,Cook,Altitude Sky Lounge,
Adaline,Dean,Altitude Sky Lounge,
Renata,Stephens,Anvil Bar & Refuge,
Luca,Jackson,Anvil Bar & Refuge,
Luca,Jackson,Anvil Bar & Refuge,
Jocelyn,Chan,Anvil Bar & Refuge,
Santiago,Fitzgerald,Anvil Bar & Refuge,
Moses,Johnson,Anvil Bar & Refuge,
Lilith,Harding,Anvil Bar & Refuge,
Aden,Washington,Anvil Bar & Refuge,
Jonathan,Bradford,Attaboy,
Nia,Brennan,Attaboy,
Nia,Brennan,Attaboy,
Nia,Brennan,Attaboy,
Paislee,Gill,Attaboy,
Journey,Hayes,Attaboy,
Juliet,Rowland,Attaboy,
Lyla,Hoffman,Attaboy,
Alaina,Palmer,Attaboy,
Nia,Kidd,Attaboy,
Jonathan,Bradford,Attaboy,
Stephanie,Costa,B.D. Riley's,
Stephen,Hoffman,B.D. Riley's,
